"LineID","LineNumber","Name","NameABV","SortOrder","DelayEnabled"
"25","3310","Ap #1                              ","AP #1          ","1","1"
"26","3320","Ap #2                              ","AP #2          ","2","1"
"27","3330","Ap #3                              ","AP #3          ","3","1"
"28","3340","Ap #4                              ","AP #4          ","4","1"
"30","3510","Grind & Polish #1(GP1)             ","GP #1          ","7","1"
"31","3520","Grind & Polish #2(GP2)             ","GP #2          ","8","1"
"32","3610","Z-Mill #1(ZM-1)                    ","ZM #1          ","9","1"
"33","3620","Z-Mill #2(ZM-2)                    ","ZM #2          ","10","1"
"34","3630","Z-Mill #3(ZM-3)                    ","ZM #3          ","11","1"
"35","3640","Z-Mill #4(ZM-4)                    ","ZM #4          ","12","1"
"36","3650","Z-Mill #5(ZM-5)                    ","ZM #5          ","13","1"
"37","4120","Skin Pass #2    (SKP2)             ","SKP #2         ","15","1"
"38","4210","Cut-to-Length #1(CS1)              ","NAS CS#1       ","17","1"
"39","4220","Cut-to-Length #2(CS2)              ","NAS CS#2       ","18","1"
"40","4310","Slitter #1      (SL1)              ","NAS SL#1       ","19","1"
"41","4320","Slitter #2      (SL2)              ","NAS SL#2       ","20","1"
"46","4600","NAS Packaging                      ","Pack           ","25","0"
"173","500","NAS Shipping                       ","NAS Ship       ",NULL,"0"
"241","4330","Slitter #3      (SL3)              ","NAS SL#3       ","21","1"
"311","4340","Slitter #4      (SL4)              ","NAS SL#4       ","22","1"
"324","3660","Z-Mill #6(ZM-6)                    ","ZM #6          ","14","1"
"336","3410","Bright Annealing Line (BAL)        ","BAL            ","5","1"
"353","3110","CB #1                              ","CB #1          ","6","1"
"357","4350","Slitter #5      (SL5)              ","NAS SL#5       ","23","1"
